City ID,City Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
2214827,Mizdah,LY,31.45,12.98,22.32,17,0,5.19,1585384424
1328421,Pathein,MM,16.78,94.73,32.81,42,58,5.99,1585384424
3855065,General Roca,AR,-39.03,-67.58,17,55,0,1,1585384425
5059429,Grand Forks,US,47.93,-97.03,-2,85,90,1.8,1585384128
3347019,Mossamedes,AO,-15.2,12.15,23,94,37,3.68,1585384425
2208248,Kaitangata,NZ,-46.28,169.85,10.56,76,5,1.34,1585384425
1629965,Tanete,ID,-3.94,119.78,27.64,81,100,2.67,1585384188
4103957,Cabot,US,34.97,-92.02,23,78,40,3.1,1585384391
935248,Sainte-Suzanne,RE,-20.91,55.61,30,70,27,2.6,1585384426
3146487,Raudeberg,NO,61.99,5.14,1.67,86,100,7.7,1585384426
1257298,Sapatgrām,IN,26.33,90.11,37.49,18,0,7.61,1585384426
3372472,Vila Franca do Campo,PT,37.72,-25.43,14,76,20,4.1,1585384427
3372760,Praia da Vitória,PT,38.73,-27.07,12,93,90,8.75,1585384427
1169607,Muzaffarabad,PK,34.37,73.47,17.03,44,91,1.6,1585384256
1067565,Beloha,MG,-25.17,45.05,30.13,53,17,4.58,1585384427
2070998,Geraldton,AU,-28.77,114.6,24,57,90,6.7,1585384428
3868633,Vallenar,CL,-28.57,-70.76,12.82,58,0,0.27,1585384428
3092472,Malbork,PL,54.04,19.03,12.22,53,7,0.5,1585384428
2510573,Teguise,ES,29.06,-13.56,17,77,20,2.6,1585384428
2136825,Isangel,VU,-19.55,169.27,26.29,81,76,8.43,1585384428
3441890,Departamento de Maldonado,UY,-34.67,-54.92,21,88,99,4.1,1585384429
1731248,Alugan,PH,12.22,125.48,27.61,72,83,3.25,1585384429
2093846,Kiunga,PG,-6.12,141.29,25.44,95,100,0.44,1585384429
2639323,Ripon,GB,54.14,-1.52,8,81,26,6.7,1585384429
1488903,Turukhansk,RU,65.82,87.98,-1.76,97,99,3.88,1585384430
583345,Aleksandrov Gay,RU,50.15,48.57,8.45,69,100,5.09,1585384430
3051718,Harkány,HU,45.85,18.24,14,44,96,1.5,1585384430
2021031,Kyren,RU,51.68,102.14,4.22,48,94,2.54,1585384430
3466165,Cidreira,BR,-30.18,-50.21,22.03,81,100,7.73,1585384430
1264409,Mahbūbābād,IN,17.62,80.02,39.45,19,0,1.15,1585384431
2297505,Navrongo,GH,10.9,-1.09,34.68,23,8,1.79,1585384431
217745,Bumba,CD,2.18,22.47,30.26,50,100,2.42,1585384139
3424607,Tasiilaq,GL,65.61,-37.64,-4,58,100,1.5,1585384431
3453837,Pindamonhangaba,BR,-22.92,-45.46,15.4,78,7,1.05,1585384411
2129376,Kushiro,JP,42.98,144.37,5,30,20,6.2,1585384432
4255151,Bud,US,39.45,-86.18,17.22,87,90,4.6,1585384432
2119538,Yelizovo,RU,53.19,158.38,1,100,90,6,1585384432
2400547,Gamba,GA,-2.65,10,28.48,77,71,1.71,1585384432
2034754,Shunyi,CN,40.12,116.65,16.11,11,0,3,1585384432
488466,Staroye Drozhzhanoye,RU,54.73,47.57,7.21,82,100,2.3,1585384433
2315026,Kasongo-Lunda,CD,-6.47,16.82,31.88,46,91,0.47,1585384433
3938415,Ilo,PE,-17.64,-71.34,22.1,77,93,3.38,1585384433
337152,Gebre Guracha,ET,9.8,38.4,24.3,14,64,1.81,1585384433
6100069,Peace River,CA,56.25,-117.29,-17,70,90,6.2,1585384434
3463762,Estrela,BR,-28.06,-50.94,14.04,73,97,2.12,1585384152
2171085,Coffs Harbour,AU,-30.3,153.13,22,88,75,2.1,1585384434
3932145,Pisco,PE,-13.7,-76.22,21,88,90,3.6,1585384434
1267433,Kattivākkam,IN,13.22,80.32,32,55,20,5.7,1585384435
1643837,Gorontalo,ID,0.54,123.06,28.91,72,82,0.3,1585384153
3355672,Lüderitz,NA,-26.65,15.16,19,55,0,4.1,1585384435
4945486,North Adams,US,42.7,-73.11,1.11,86,1,0.52,1585384436
1853483,Oyama,JP,36.3,139.8,14.44,93,90,8.7,1585384436
2026786,Berezovyy,RU,51.67,135.7,-5.27,80,46,4.42,1585384436
3985168,San Patricio,MX,19.22,-104.7,22.21,55,9,2.18,1585384437
3892454,Diego de Almagro,CL,-26.37,-70.05,9.85,58,1,0.1,1585384437
2094342,Kavieng,PG,-2.57,150.8,27.57,76,99,1.81,1585384437
5391295,Salinas,US,36.68,-121.66,10,81,20,0.24,1585384437
1732945,Cukai,MY,4.25,103.42,32,74,20,3.6,1585384438
2035410,Qian’an,CN,44.99,124.06,6.99,41,0,5.16,1585384438
1733874,Beaufort,MY,5.35,115.75,31,74,75,2.6,1585384438
1805680,Jingdezhen,CN,29.29,117.21,8.37,78,100,2.91,1585384439
4350461,Carroll,US,39.55,-77.02,13,100,90,1.5,1585384439
1500485,Listvyagi,RU,53.68,86.95,0.97,79,97,4.68,1585384439
2389691,Batangafo,CF,7.3,18.28,34.89,35,98,3.34,1585384439
3393692,Itarema,BR,-2.92,-39.92,24.62,91,47,2.97,1585384440
2374583,Bubaque,GW,11.28,-15.83,24.89,54,35,6.12,1585384440
53157,Qandala,SO,11.47,49.87,30.05,56,93,5.08,1585384440
748870,Çubuk,TR,40.24,33.03,11,87,75,2.1,1585384440
3842670,Olavarría,AR,-36.89,-60.32,18.89,95,30,2.1,1585384441
6166142,Thunder Bay,CA,48.4,-89.32,-1.11,100,20,1.5,1585384203
3465228,Coxim,BR,-18.51,-54.76,22.61,87,40,1.83,1585384441
602913,Skellefteå,SE,64.75,20.95,2,43,0,9.8,1585384441
2109701,Auki,SB,-8.77,160.7,27.57,80,98,5.66,1585384442
2322495,Tari,NG,12.41,4.49,35.81,9,1,3.86,1585384442
3520994,Puerto Escondido,MX,15.85,-97.07,25.11,68,0,2.71,1585384442
529505,Manturovo,RU,58.34,44.76,9.27,61,97,3.43,1585384443
3454061,Peruíbe,BR,-24.32,-47,22.34,79,7,2.44,1585384443
1812521,Donghai,CN,22.95,115.64,23.33,67,88,1.34,1585384443
